,X,StateAbbr,CityName,GeographicLevel,PopulationCount,GeoLocation,CityFIPS,TractFIPS,ACCESS2,percentACCESS2,leastACCESS2,posACCESS2,ARTHRITIS,BINGE,BPHIGH,BPMED,CANCER,CASTHMA,CHD,CHECKUP,CHOLSCREEN,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,HIGHCHOL,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PAPTEST,PHLTH,SLEEP,STROKE,TEETHLOST,Lat,Long,avgOutcome,sdOutcome,avgBehavior,sdBehavior,avgPrevent,sdPrevent,sdPHLTH,sdMHLTH,sdACCESS2,sdCANCER,sdMAMMOUSE,sdCOPD
21,22,AR,Fort Smith,City,86209,"35.3491692636, -94.3696317306",524550,NA,22,three,0.739,78,27.1,13.1,37.6,62.4,6.2,9.8,8,65,68.1,56.1,9.1,29.7,30.3,26.1,54.1,11.6,34.5,3.1,33.9,72.8,15.4,35.8,74,17.1,38,3.6,21.5,35.34916926,-94.36963173,15.73846154,11.35991039,29.38,10.1457873,53.45,19.21048614,4.6233723,3.766550778,10.44,1.511810646,4.324421238,2.261320727
22,23,AR,Jonesboro,City,67263,"35.8208121538, -90.6794991686",535710,NA,17.1,two,0.47,82.9,25.9,14.4,36.3,64.8,6.4,9.4,7.4,65.3,69.6,58.9,8,32.6,31.6,24.3,57.1,10.3,34.8,2.9,30.1,70.1,13.9,32.9,78.6,14.6,35.8,3.2,18.7,35.82081215,-90.67949917,14.75384615,11.17524164,27.5,8.465518295,54.57,20.28617756,2.955689243,3.103949983,7.17,1.669259887,4.270323096,1.907014236
23,24,AR,Little Rock,City,193524,"34.7253957894, -92.3583751863",541000,NA,16.6,two,0.436,83.4,25.2,13.8,38.2,67.5,6.1,9.3,6.7,69.2,74.3,64.4,6.7,35.5,33.2,20.8,61.3,11.8,35.5,3,26.7,78.2,12.5,31,82.8,12.9,36.5,3.4,15.8,34.72539579,-92.35837519,14.39230769,11.57335025,25.76,8.822301287,58.3,22.08735184,4.188023072,3.324753271,8.51,1.272046367,2.679640011,2.1234286
24,25,AR,Springdale,City,69797,"36.1869932598, -94.1536274531",566080,NA,25.3,four,0.865,74.7,26.5,13.9,32.5,61.4,6.1,9.5,8,61.7,66.8,51.5,9,30.4,27.5,25.6,49.2,11.9,34.1,3.2,33.6,66.2,15.2,34.5,73.7,17.1,36.2,3.5,24.4,36.18699326,-94.15362745,15.46153846,10.68063188,28.76,9.253810026,51.37,17.81959284,3.701688804,2.891013375,9.63,0.977049129,4.619050227,1.808026088
25,26,CA,Alameda,City,73812,"37.7650849031, -122.266489842",600562,NA,10.7,one,0.122,89.3,18.5,15,24.3,51.5,5.7,7.9,4.5,66,74,67.5,4.3,33.5,30.1,11.9,69.9,8.1,31.3,2.2,18.7,80.2,9.8,18.7,81.7,9.6,32.3,2.2,7.5,37.7650849,-122.2664898,10.45384615,8.874740877,19.32,7.793715417,56.51,24.13478126,1.550053763,1.600416612,3.51,1.174858147,2.175584213,0.744283772
26,27,CA,Alhambra,City,83089,"34.0839734383, -118.135514119",600884,NA,17.9,three,0.537,82.1,16.6,12,26.2,51.1,4.5,6.8,4.6,67,73.1,55.9,4,22.4,25.3,12.2,61.4,10.9,35.3,2.3,24.8,79.7,10.1,18.1,73.7,11.4,38.4,2.3,8.8,34.08397344,-118.1355141,11.06153846,9.831457883,21.1,11,52.75,22.99518065,1.046937891,0.753308492,2.25,0.857781717,1.327234957,0.508325424
27,28,CA,Anaheim,City,336265,"33.8389076996, -117.857613481",602000,NA,22.1,three,0.742,77.9,19.2,16.3,27.5,52.5,5.3,8.4,5.6,64.4,73.8,58.9,5.5,24.7,27.2,15.2,59.9,10.5,32,2.6,26.2,78.8,12.5,23.3,78.5,13.4,33.8,2.7,11.4,33.8389077,-117.8576135,12.04615385,9.186912374,22.96,7.627122655,54.08,22.0374328,2.923940942,2.682326542,9.87,1.467935978,3.167462963,0.906566635
28,29,CA,Antioch,City,102372,"37.9777042922, -121.796606971",602252,NA,16.8,two,0.453,83.2,21.3,15.8,29.7,53.4,5.7,9.1,5.8,65.4,74.8,62.6,5.9,27.5,25.8,16.1,62.7,10.3,32.1,2.6,24.4,79.1,12.6,30.5,81.9,13.2,37.9,2.9,12.2,37.97770429,-121.796607,12.56923077,9.57090945,24.94,9.498052432,55,23.5522115,2.671073114,2.256079506,6.04,0.969685245,3.014085355,1.396716073
29,30,CA,Apple Valley,City,69135,"34.5315984948, -117.211012664",602364,NA,16.9,two,0.456,83.1,22.4,16.9,29,53.1,6.1,9.5,6.1,65.1,71.6,61.3,6.9,29.6,27.9,18.1,58.9,10,32.5,2.6,23.1,78.6,13.7,27,81.6,14,36.7,3,12.7,34.53159849,-117.2110127,12.96153846,9.521951696,24.36,7.994873357,54.46,22.43227833,2.815487471,2.734072332,5.78,1.949281142,3.011027711,1.649517836
30,31,CA,Bakersfield,City,347483,"35.3513302855, -119.029786003",603526,NA,20.9,three,0.702,79.1,21.5,16.8,31.6,53.8,5.8,9.1,6.2,66.2,71.5,60.7,6.4,26,26.8,17.6,61.5,10.9,34.8,2.8,27.1,76.9,13.5,30.3,80.6,14.3,34.8,3.1,13.7,35.35133029,-119.029786,13.36153846,10.23674252,25.32,7.906136857,54.49,22.12411706,4.64790195,3.621373495,11.66,1.924085876,4.408011796,2.043922126
31,32,CA,Baldwin Park,City,75390,"34.082871519, -117.972100918",603666,NA,30.1,four,0.942,69.9,19,14.3,27.4,50.5,4.5,7.9,6.1,64.5,72.4,50.9,5.1,20,20.3,15.3,52.3,13.7,35.7,2.9,30,77.4,13.3,27.4,77.5,16.1,38.9,2.9,12.7,34.08287152,-117.9721009,12.86923077,9.920549768,25.18,10.39697071,51.59,22.05596165,1.300326756,0.812323385,2.63,0.435064416,1.302285573,0.588006491
32,33,CA,Bellflower,City,76616,"33.8880417923, -118.127100236",604982,NA,22.9,three,0.773,77.1,20.1,14.9,28.8,52.6,5.3,8.5,6,66.7,73.7,56.9,5.8,23.2,23.9,16,57.2,11.9,35.1,2.7,25.9,79.1,13,27.4,79.6,14.6,39,3,11.7,33.88804179,-118.1271002,12.80769231,9.915935116,24.64,9.809841997,53.58,22.79243539,1.871850296,1.69990388,5.12,0.679316265,1.931168497,0.693857268
33,34,CA,Berkeley,City,112580,"37.8725678765, -122.274907975",606000,NA,9.9,one,0.077,90.1,19.1,15.8,25.9,52.3,6.1,8.2,4.7,66,73.4,70.3,4.3,35.5,30.7,11.3,71.4,7.8,31.4,2.2,16.5,81.4,9.8,21,84.1,9.4,30.9,2.3,6.5,37.87256788,-122.274908,10.59230769,9.1545491,19.1,7.438749895,57.5,24.62139991,1.857264606,2.183044163,4.59,2.468038112,2.902059744,0.882639808
34,35,CA,Buena Park,City,80530,"33.8572126844, -118.004517591",608786,NA,17.8,three,0.527,82.2,18.2,15.8,26.9,52.6,5.2,7.9,5,65.5,74.4,60.1,4.9,25.1,28.6,14,63.2,9.9,31.7,2.4,24.4,79.8,11.2,20.5,77.8,11.8,33.9,2.5,9.7,33.85721268,-118.0045176,11.33076923,9.119428401,21.72,7.932023701,54.49,22.83445009,2.047826841,1.910651259,6.1,0.984470927,2.215689745,0.806266308
35,36,CA,Burbank,City,103340,"34.1879799605, -118.323429032",608954,NA,12.6,one,0.206,87.4,18.5,17.7,25.4,49.8,6,7.9,5.2,66.9,76.1,65.1,4.8,27.7,29.4,13.4,69.7,8.3,34.2,2.3,18,81.6,10.7,21.9,83.6,10.8,34.2,2.3,7.6,34.18797996,-118.323429,11.07692308,9.481662464,21.04,7.948144438,56.25,25.03389924,1.440012626,1.360219699,4.05,1.068077953,1.814696264,0.782718482
36,37,CA,Carlsbad,City,105328,"33.1248051026, -117.282903303",611194,NA,8.8,one,0.045,91.2,18.8,19.7,24.8,51,6.3,7.8,4.8,66.8,76.1,69.4,4.5,32.8,31.6,11.6,73,7.2,30.3,2.2,15.8,81.4,9.8,20.1,85.7,8.9,31.4,2.1,6.8,33.1248051,-117.2829033,10.33076923,8.782310309,19.72,7.38017615,57.66,25.55026419,1.174465164,1.461965152,2.4,3.526441475,1.92651171,0.864443843
37,38,CA,Carson,City,91714,"33.8374083001, -118.255936422",611530,NA,18.7,three,0.583,81.3,18.4,14,28.7,52.6,4.9,7.9,5.2,68.9,75.2,60,4.5,22,25.1,13.7,61,11.7,34.1,2.6,23.8,81.9,11.2,24.4,80.2,12.3,39.8,2.9,9.9,33.8374083,-118.2559364,11.86923077,9.807087965,23.14,10.63287355,54.56,24.32516758,1.784517561,1.456142465,4.75,0.82678126,2.501753771,1.001986331
38,39,CA,Chico,City,86187,"39.7568503668, -121.815983972",613014,NA,13.4,one,0.259,86.6,22.1,18.4,29.9,50.3,6.5,9.4,5.8,61.8,72.3,62.3,6.5,29,29.3,17,62.9,8.6,34,2.4,20.6,78.1,13,27.1,81.3,12.7,33.5,2.8,10.5,39.75685037,-121.815984,12.63076923,9.996031264,23.32,6.882368778,54.07,23.01453888,2.216101694,2.773077798,5.62,2.205329513,3.565274992,1.306702091
39,40,CA,Chino,City,77983,"33.983588126, -117.665296584",613210,NA,17.3,two,0.488,82.7,19.7,16.9,27.4,51.2,5.3,8.2,5.5,65.7,72.3,61.7,5.1,28,26.8,14.2,61.5,10.4,32,2.5,22.4,80.5,11.5,24.7,83.8,12.4,36,2.6,11.2,33.98358813,-117.6652966,11.83076923,9.253322342,22.84,8.467171901,54.88,23.42941172,2.153853516,1.418148014,5.36,0.853367034,2.131984868,0.91553406
40,41,CA,Chino Hills,City,74799,"33.950774546, -117.725326968",613214,NA,10.6,one,0.115,89.4,17.3,15.9,25.6,50.6,5.2,7.2,4.3,67.6,73.4,66.7,3.8,30.2,31.7,10.7,70.2,8.3,31.4,2.1,17.8,83.1,8.9,18.6,83.9,9,34.2,2,7.2,33.95077455,-117.725327,10.17692308,9.107520139,19.44,8.805850328,56.8,24.95845437,1.369140407,1.20930734,2.71,0.706892474,1.361705704,0.757987767
41,42,CA,Chula Vista,City,243916,"32.6282964262, -117.010042407",613392,NA,19.2,three,0.603,80.8,19,16.6,26.1,51.7,5.1,7.7,5.4,66.2,73.9,60.7,4.8,27,24.7,12.8,61.5,11.1,30.9,2.7,24,79.3,11.4,23.9,82.1,12.1,35.7,2.5,11.2,32.62829643,-117.0100424,11.53846154,8.86148393,22.6,8.764987165,54.63,23.27502476,3.457984901,2.520638217,8.28,0.995168718,3.493936865,1.412095889
42,43,CA,Citrus Heights,City,83301,"38.6947788342, -121.287991502",613588,NA,13.1,one,0.237,86.9,21.9,18.3,28.9,52.9,6.3,9.4,5.9,62.8,74.3,64.6,6.6,29.8,28.7,18.9,63.6,8.8,30.9,2.5,20.4,80,13.2,26.8,83.1,12.8,32.2,2.8,12.5,38.69477883,-121.2879915,12.5,9.267595877,23.32,6.004748121,55.29,23.80468908,1.529899632,1.361120208,2.9,1.143049109,1.626388127,0.951782185
43,44,CA,Clovis,City,95631,"36.8289400179, -119.68665285",614218,NA,13.3,one,0.249,86.7,20.4,17.6,27.7,51.7,6,8.7,5.5,64.8,71.4,66.5,5.7,31.2,29.7,13.8,68.9,8.9,32.6,2.3,21.8,79,11.9,23.6,82.7,11.6,29.6,2.6,10.4,36.82894002,-119.6866529,11.86923077,9.41987125,21.28,6.007661775,55.92,23.5268074,2.952576419,2.380553627,5.58,1.100951798,3.41879252,1.678096512
44,45,CA,Compton,City,96455,"33.892965693, -118.227506568",615044,NA,32.4,four,0.962,67.6,23,13.5,34.5,55.4,5,10.2,7.3,67.3,72.6,52.5,7.1,17.7,18.5,19.4,46.1,16.5,35.3,3.4,32.2,79.2,16.1,35.5,78.9,19.1,43.2,4.6,19.1,33.89296569,-118.2275066,15.47692308,10.7157325,28.76,12.10632066,52.06,23.21729241,2.456237661,2.323381899,7.89,1.012982233,3.437363522,0.953693882
45,46,CA,Concord,City,122067,"37.9721810307, -122.001588036",616000,NA,15.3,two,0.356,84.7,20.1,16.9,27.5,51.4,5.9,8.5,5.3,64.4,74.8,65.6,5.2,30.4,29.4,14.5,67.1,8.7,32,2.4,21.6,80,11.5,27.5,82.6,11.7,35.1,2.4,9.3,37.97218103,-122.001588,11.57692308,9.340606141,23.12,8.336785951,56.1,23.48380056,2.206377902,2.218912217,8.1,1.440109807,3.020361933,0.862191617
46,47,CA,Corona,City,152374,"33.8623571787, -117.564224471",616350,NA,16.9,two,0.455,83.1,20.3,16.8,29.1,49,5.7,8.4,5.4,66.8,74.7,63.6,5.2,26.3,28.5,14.6,65.2,9.7,33,2.5,23.3,81.2,11.6,26.3,83,12.1,36.5,2.6,11.4,33.86235718,-117.5642245,12.07692308,9.700099127,23.5,8.674387586,55.52,24.00605479,3.187620487,2.337538028,9.24,0.757505859,3.295191302,1.054203272
47,48,CA,Costa Mesa,City,109960,"33.6667651353, -117.91350475",616532,NA,15.9,two,0.392,84.1,19.2,18.4,26.8,51.9,5.9,8.4,5.4,64.8,75.1,63.5,5.4,27.5,30.1,14.4,66.4,8.8,31.6,2.4,21.3,80,11.6,22.2,81.8,11.8,31.6,2.5,9.4,33.66676514,-117.9135048,11.47692308,9.075530641,21.58,6.374323494,55.7,23.46458324,2.677374336,2.261695529,8.76,1.238776278,2.763946454,0.945163125
48,49,CA,Daly City,City,101123,"37.6861552276, -122.468298024",617918,NA,13.9,one,0.283,86.1,17,12.7,25,52.3,4.6,6.9,4.3,66,75.1,61.1,3.7,26.1,30.1,11.1,66.1,9.6,31.3,2.2,23.2,80.9,9.2,17.6,76.3,9.7,35.1,2.1,8.6,37.68615523,-122.468298,10.32307692,8.960018029,19.94,9.701700882,54.79,23.47861675,1.355262647,1.06141663,3.45,0.848900217,1.655381972,0.673873329
49,50,CA,Downey,City,111772,"33.937867256, -118.131150116",619766,NA,22.7,three,0.758,77.3,18.6,16,26.4,50,5.2,7.7,5.7,66.1,74.3,58.7,4.8,24.1,24.8,13.5,61.4,11.2,34.8,2.7,23.8,80.3,11.8,26.3,82.7,13.3,36.5,2.6,9.8,33.93786726,-118.1311501,11.89230769,9.613052025,23.22,9.121238951,54.51,23.31062943,1.457215218,1.522278993,4.69,0.687992248,1.551097921,0.431663449
50,51,CA,El Cajon,City,99478,"32.8016581921, -116.960483614",621712,NA,19.7,three,0.637,80.3,22.9,17.1,28.5,53.8,6,9.6,6.5,64.5,72.8,58.8,7.7,28,24.8,19.2,55.5,10.8,31.7,2.8,26.1,75.6,14.9,27.1,78.3,15.1,36.9,3.3,14.4,32.80165819,-116.9604836,13.4,9.263368718,25.28,7.792432226,53.18,21.71654771,3.010827023,2.962338559,7.2,1.253244467,3.54200792,1.473231161
51,52,CA,Elk Grove,City,153015,"38.4159992006, -121.384137762",622020,NA,11.4,one,0.146,88.6,19,15.8,28.7,53.4,5.5,8.2,4.9,65.4,74.6,66.1,4.7,28.8,29.8,14.3,67,9,30.4,2.3,19.3,82.6,10.6,22.3,82.7,10.4,32.9,2.4,9.8,38.4159992,-121.3841378,11.22307692,9.235813793,20.92,7.383901408,56.18,24.71988853,1.677752812,1.111959993,2.31,1.430488132,1.48574799,1.250624183
52,53,CA,El Monte,City,113475,"34.073919653, -118.029071951",622230,NA,32.2,four,0.959,67.8,19.6,12.7,28.7,51.7,4.4,8.2,6.3,63.8,70.7,47.4,5.8,19.1,19.8,17,47.9,14.4,36.5,2.9,33,75.2,14.2,26.4,71.8,17.4,40.4,3.2,14.7,34.07391965,-118.029072,13.56153846,10.22916895,25.9,11.33975308,49.96,20.88844444,2.979770878,2.649573811,8.37,2.274519022,2.878419506,1.613381542
53,54,CA,Escondido,City,143911,"33.1346952955, -117.072122618",622804,NA,23.1,three,0.782,76.9,21.7,16.7,27.3,52.6,5.7,9,6.3,64.1,72.6,59.1,6.8,27.7,24.9,17.1,55.5,11.1,31.6,2.8,26.7,76.4,14.1,26.5,78.9,14.7,36.4,3.1,14.1,33.1346953,-117.0721226,12.94615385,9.081539461,24.68,8.153036244,53.49,21.319446,3.358038185,3.256351602,11.83,1.798752724,4.044967412,1.151760839
54,55,CA,Fairfield,City,105321,"38.2558446343, -122.039303253",623182,NA,15.8,two,0.387,84.2,21.2,16.4,29.7,54.6,5.6,8.9,5.6,65.2,73.8,63.4,5.7,27,28.3,15.8,63,10.2,32.3,2.6,22.8,78.5,12.2,26.7,79.9,12.5,35.3,2.9,12.2,38.25584463,-122.0393033,12.43076923,9.633135922,23.4,8.056363944,54.95,23.0891148,3.609877475,2.680829378,7.34,1.626851608,3.777929836,1.77453786
55,56,CA,Folsom,City,72203,"38.6750494328, -121.147605753",624638,NA,8.9,one,0.047,91.1,18.4,19.5,27.1,51.7,6.2,7.8,4.7,65,76.2,71.4,4.3,33,33.8,13.5,72.7,7.1,29.9,2.1,15.2,84.1,9.5,21.8,87.1,8.9,29.8,2.1,7.5,38.67504943,-121.1476058,10.43076923,9.024816214,19.96,6.418956301,58.39,25.74129626,1.531869773,1.208304597,3.72,1.593410912,1.556157126,1.073293219
